Station_name,Station_shortname,USGS_ID,Lat,Lon,GaugeHeight,Disch,Disch_tdflt,Level,SpecCond,Salinity,Temperature,Turbidity,pH,DO,fDOM,RelfChl,RelfPC,NO2_NO3,fExEm,Precip
"TAMIAMI CANAL OUTLETS, 40-MILE BEND TO MONROE, FL",M-40,"""02288900""",25.85176527,-80.9803467,"""00065""","""00060""","""72137""","""999""","""00095""","""999""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999"""
HILLSBORO CANAL BELOW S351 NR SOUTH BAY FLA,HillsCan,"""02280500""",26.70021389,-80.7090694,"""00065""","""00060""","""72137""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"ST. LUCIE CANAL BLW S-308, NR PORT MAYACA (AUX) FL",S-308,"""02276877""",26.98553333,-80.6156,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999"""
"IMPERIAL RIVER NEAR BONITA SPRINGS, FL",IMPRv,"""02291500""",26.33583333,-81.74938889,"""00065""","""00060""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""32295""","""999""","""999""","""999""","""999""","""999"""
"BLACKWATER RIVER NEAR GOODLAND, FL",BLKRv,"""255654081350200""",25.9523611,-81.5844222,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"PUMPKIN RIVER NEAR GOODLAND, FL",PUMRv,"""255534081324000""",25.926,-81.5443056,"""00065""","""00060""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
FAKA-UNION RIVER NEAR THE MOUTH,FURv,"""255432081303900""",25.90880556,-81.5109167,"""00065""","""00060""","""72137""","""63160""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"EAST RIVER NEAR EVERGLADES CITY, FL",EASTRv,"""255327081275900""",25.89538889,-81.4555,"""00065""","""00060""","""72137""","""63160""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"BARRON RIVER AT EVERGLADES CITY, FL",BARRv,"""02290928""",25.8697222,-81.3825,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"TURNER RIVER NR CHOKOLOSKEE ISLAND, FL",TURRv,"""02290930""",25.8286111,-81.3416667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"EAST SIDE CREEK NEAR LAKE INGRAHAM, FL",ESTSDCr,"""250802081035500""",25.13696944,-81.0643806,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""63680""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"ALLIGATOR CREEK NEAR GARFIELD BIGHT, FL",ALLCr,"""251032080473400""",25.17555556,-80.7927778,"""00065""","""00060""","""999""","""999""","""00095""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"MCCORMICK CREEK AT MOUTH NEAR KEY LARGO, FL",MCCr,"""251003080435500""",25.16819444,-80.73358889,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"TAYLOR RIVER AT MOUTH NEAR HOMESTEAD, FL",TAYRv,"""251127080382100""",25.19059444,-80.6390528,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"MUD CREEK AT MOUTH NR HOMESTEAD, FL",MUDCr,"""251209080350100""",25.20330278,-80.5841111,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"TROUT CREEK AT MOUTH NEAR KEY LARGO, FL",TRTCr,"""251253080320100""",25.2148972,-80.5335056,"""00065""","""00060""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"JOE BAY 2E, NEAR KEY LARGO, FL",JOBay,"""251355080312800""",25.232625,-80.5248667,"""00065""","""999""","""999""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999"""
"WEST HIGHWAY CREEK NEAR HOMESTEAD, FL",WHCr,"""251433080265000""",25.24210833,-80.4475722,"""00065""","""999""","""72137""","""999""","""00095""","""00480""","""00010""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""999""","""00045"""
